,Gene
18075,PHF3
18076,EYS
18078,RP11-59D5__B.2
18099,LMBRD1
18159,DDX43
18160,MB21D1
18182,TMEM30A
18195,RP11-474L11.5
18267,RWDD2A
18270,PRSS35
18274,CYB5R4
18278,CEP162
18288,KRT18P64
18292,NT5E
18335,ORC3
18340,CNR1
18353,RN7SL336P
18355,PM20D2
18357,GABRR2
18358,TUBB3P1
18359,UBE2J1
18411,UFL1
18432,FBXL4
18437,COQ3
18438,PNISR
18446,PRDM13
18485,ATG5
18491,AIM1
18523,NR2E1
18524,RP3-429G5.5
18538,SUMO2P8
18542,ARMC2
18546,SESN1
18547,RP11-787I22.3
18558,SMPD2
18567,CDC40
18599,TRAF3IP2-AS1
18653,DSE
18657,RP1-93H18.1
18664,FAM26E
18692,SSXP10
18700,MAN1A1
18747,NCOA7
18750,HINT3
18762,RNF146
18763,ECHDC1
18779,PTPRK
18806,ARG1
18807,MED23
18827,MOXD1
18828,STX7
18842,VNN3
18843,VNN2
18844,RP1-55C23.7
18847,RPS12
18864,TBPL1
18901,MTFR2
18911,MAP3K5
18922,IFNGR1
18927,RP11-95M15.2
18955,TXLNB
18976,RP11-137J7.3
18979,VTA1
19006,PLAGL1
19009,SF3B5
19023,RP3-466P17.3
19024,FBXO30
19033,ADGB
19041,STXBP5
19042,RP11-361F15.5
19043,YAP1P1
19060,RP1-111D6.4
19120,AKAP12
19127,ARMT1
19130,ESR1
19146,RGS17
19149,RP11-475C16.1
19174,TIAM2
19176,RP11-477D19.2
19193,TMEM242
19218,DYNLT1
19221,EZR
19240,SOD2
19273,AGPAT4
19322,RP1-167A14.2
19324,FGFR1OP
19402,ABC7-481722F1.2
19407,AC093627.9
19411,AC093627.12
19442,RP11-1246C19.1
19443,INTS1
19447,PSMG3
19455,MAD1L1
19459,NUDT1
19463,EIF3B
19466,CHST12
19468,LFNG
19474,GNA12
19489,AP5Z1
19517,FSCN1
19543,C7orf26
19552,CCZ1B
19563,C1GALT1
19571,RP5-1007H16.1
19664,SNX13
19735,IGF2BP3
19743,CCDC126
19771,AC003090.1
19772,CTA-242H14.1
19773,CTD-2227E11.1
19775,NFE2L3
19778,CBX3
19780,SNX10
19787,SKAP2
19795,HOXA3
19803,HOXA9
19805,HOXA10
19830,CREB5
19832,TRIL
19868,GARS
19882,PPP1R17
19888,AVL9
19896,KBTBD2
19899,FKBP9
19901,NT5C3A
19902,RPS29P14
19934,SEPT7
19952,AC006960.7
19954,AOAH-IT1
19967,GPR141
19969,AC018634.9
19970,NME8
20000,KRT8P20
20012,LINC00265
20018,AC004987.9
20054,BLVRA
20083,DDX56
20084,TMED4
20087,ZMIZ2
20095,RP4-647J21.1
20096,MYO1G
20097,SNHG15
20099,NACAD
20100,TBRG4
20140,HUS1
20169,GRB10
20179,RP4-718N17.2
20183,RP11-598O8.1
20243,SUMF2
20419,TRIM60P18
20425,ZNF680
20431,ZNF107
20436,ZNF138
20440,ZNF273
20457,ZNF92
20471,GUSB
20478,TPST1
20491,GS1-124K5.12
20588,WBSCR22
20651,MDH2
20665,FDPSP2
20667,UPK3B
20677,DTX2P1
20682,SPDYE18
20692,PTPN12
20693,APTR
20694,RSBN1L
20695,TMEM60
20723,SEMA3C
20732,HGF
20770,SLC25A40
20772,ADAM22
20776,STEAP4
20780,KPNA2P2
20798,GTPBP10
20802,CDK14
20803,AC002456.2
20811,MTERF1
20833,SAMD9
20834,SAMD9L
20835,HEPACAM2
20850,BET1
20896,SDHAF3
20913,AC004967.7
20925,NPTX2
20941,CPSF4
20945,ZNF394
20969,ZKSCAN1
20972,COPS6
20977,AP4M1
20978,TAF6
20989,STAG3
20995,PILRB
21013,PCOLCE
21028,SRRT
21035,MUC12
21038,TRIM56
21047,PLOD3
21050,FIS1
21074,PRKRIP1
21125,LINC01004
21152,CTB-111H14.1
21154,CCDC71L
21157,PIK3CG
21160,HBP1
21163,CTB-20D2.1
21178,CTB-13F3.1
21183,THAP5
21220,BMT2
21255,CAPZA2
21293,ING3
21364,AC000374.1
21382,SND1-IT1
21383,LRRC4
21407,RP11-274B21.10
21410,RP11-274B21.9
21421,ATP6V1F
21423,KCP
21427,TNPO3
21429,ODCP
21469,MEST
21476,KLF14
21480,AC016831.6
21481,LINC00513
21484,RP11-138A9.1
21504,AC011625.1
21507,CHCHD3
21509,RP11-371A22.1
21532,TMEM140
21591,RP11-383F6.1
21592,TTC26
21594,RP11-365F18.6
21595,RP11-365F18.1
21597,UBN2
21616,SLC37A3
21624,ADCK2
21659,MGAM
21663,TAS2R38
21664,MGAM2
21666,PRSS58
21697,TRBV7-5
21722,TRBV24-1
21749,TRBJ2-5
21757,TRPV5
21758,C7orf34
21760,OR9A2
21765,TAS2R39
21766,RP11-556I13.2
21767,TAS2R40
21787,OR2R1P
21795,TCAF2
21800,RP11-61L23.2
21819,OR2A13P
21869,RN7SL569P
21878,ZNF425
21891,ZNF777
21893,ZNF767P
21899,RP4-751H13.7
21941,ABCB8
21945,SLC4A2
21946,RP11-148K1.12
21947,FASTK
21948,TMUB1
21949,AGAP3
22024,RBM33
22057,AC005481.5
22072,VIPR2
22088,FBXO25
22122,RP11-378A12.1
22260,RPL10P19
22264,PPP1R3B
22307,AF131215.2
22336,RP11-297N6.4
22387,OR7E10P
22431,ZDHHC2
22486,LZTS1-AS1
22501,DOK2
22506,FAM160B2
22509,REEP4
22512,BMP1
22516,POLR3D
22525,SORBS3
22529,CCAR2
22539,RP11-875O11.1
22541,TNFRSF10B
22544,TNFRSF10C
22556,CTC-756D1.1
22571,ADAMDEC1
22583,RP11-395I14.2
22593,SDAD1P1
22650,INTS9
22660,DUSP4
22670,RP11-489E7.1
22680,RP11-51J9.5
22778,ZNF703
22781,ERLIN2
22786,RAB11FIP1
22791,EIF4EBP1
22823,PLEKHA2
22826,ADAM9
22827,ADAM32
22837,IDO1
22859,GOLGA7
22893,THAP1
22905,RP11-726G23.11
22951,SPIDR
22953,RP11-697N18.4
22957,CEBPD
22958,PRKDC
22997,PCMTD1
23009,RB1CC1
23031,LYPLA1
23051,TMEM68
23053,LYN
23063,PLAG1
23076,RP11-33E15.1
23097,UBXN2B
23099,CYP7A1
23101,SDCBP
23102,NSMAF
23120,RAB2A
23125,CHD7
23135,ASPH
23137,RN7SKP97
23153,GGH
23191,AC084082.3
23202,VCPIP1
23204,SGK3
23216,ARFGEF1
23258,RP11-333A23.4
23301,STAU2
23303,RP11-116B19.2
23306,UBE2W
23311,TMEM70
23313,LY96
23315,RP11-6I2.3
23319,RP1-16A9.1
23325,RP11-730G20.2
23348,PEX2
23353,PKIA-AS1
23396,PAG1
23399,RP11-1149M10.2
23400,RP11-363E6.1
23402,RP11-363E6.4
23422,SNX16
23476,PSKH2
23512,OSGIN2
23513,NBN
23516,LINC00534
23523,NECAB1
23526,TMEM55A
23529,OTUD6B-AS1
23551,CTD-3239E11.2
23552,TRIQK
23562,FAM92A
23563,CTD-2006H14.2
23564,RP11-10N23.2
23565,RBM12B
23595,INTS8
23596,CCNE2
23598,RP11-347C18.1
23599,NDUFAF6
23600,TP53INP1
23606,PLEKHF2
23622,PTDSS1
23625,SDC2
23633,LAPTM4B
23637,RPS23P1
23648,STK3
23652,RNU6-748P
23662,RP11-410L14.2
23663,RP11-410L14.1
23681,SPAG1
23695,PABPC1
23700,RP11-521I2.3
23729,RRM2B
23730,UBR5-AS1
23733,KB-431C1.5
23751,KB-1507C5.4
23754,ATP6V1C1
23755,MTND1P5
23765,RP11-1C8.6
23807,PGAM1P13
23815,EMC2
23825,PKHD1L1
23862,EIF3H
23864,RAD21
23874,EXT1
23901,RP11-760H22.2
23933,FAM83A
23948,FBXO32
23966,TMEM65
24016,CCAT2
24040,GSDMC
24042,FAM49B
24046,RNU7-181P
24063,LRRC6
24064,TMEM71
24065,PHF20L1
24070,SLA
24124,TRAPPC9
24128,PEG13
24130,CHRAC1
24149,CTD-3064M3.3
24162,TSNARE1
24165,ADGRB1
24176,LYPD2
24190,C8orf31
24199,ZNF696
24203,RHPN1-AS1
24205,RP11-909N17.2
24206,MAFA-AS1
24213,RP11-661A12.9
24221,ZNF623
24222,ZNF707
24232,SCRIB
24234,PUF60
24238,EPPK1
24244,SMPD5
24245,OPLAH
24248,EXOSC4
24251,SHARPIN
24252,MAF1
24256,MROH1
24257,BOP1
24260,HSF1
24261,DGAT1
24265,SLC52A2
24266,FBXL6
24268,CPSF1
24274,VPS28
24279,KIFC2
24281,PPP1R16A
24288,C8orf82
24295,ZNF34
24297,RPL8
24300,ZNF7
24302,ZNF250
24304,ZNF252P
24366,PLPP6
24368,CDC37L1
24376,JAK2
24381,MTCO1P11
24384,MTCO3P11
24387,TCF3P1
24388,IGHEP2
24397,PLGRKT
24399,CD274
24400,PDCD1LG2
24444,PTPRD-AS1
24464,LURAP1L
24498,PSIP1
24558,HACD4
24574,IFNA14
24604,CDKN2B
24652,LINGO2
24671,SLC25A6P2
24679,DDX58
24680,TOPORS
24705,CHMP5
24751,RP11-571F15.3
24761,ENHO
24770,GALT
24772,CCL27
24805,TESK1
24812,CCDC107
24819,CREB3
24862,ZCCHC7
24866,GRHPR
24905,CNTNAP3
24906,RBM17P1
24913,RP11-347J14.7
24914,ZNF658B
24923,RP11-204M4.3
24938,FAM95B1
24961,CBWD7
24964,PTGER4P2-CDK2AP2P2
24981,CNTNAP3B
25009,CYP4F60P
25020,FAM74A6
25022,RP11-144A16.8
25029,RP11-101E5.1
25030,CH17-296N19.1
25049,RP11-111F5.2
25069,LINC01410
25084,AQP7P1
25086,BMS1P10
25095,RP11-764K9.1
25097,DUX4L50
25103,SNX18P9
25105,CYP4F25P
25131,BMS1P13
25142,ANKRD20A3
25151,ZNF658
25167,FAM27E3
25179,CBWD3
25188,TMEM252
25191,RP11-274B18.3
25203,APBA1
25206,PTAR1
25215,SMC5
25238,RP11-217F16.1
25255,TRPM6
25264,NMRK1
25276,RP11-214N16.2
25277,PRUNE2
25292,GNAQ
25302,KRT18P24
25347,FRMD3
25360,RP11-575L7.8
25361,RMI1
25370,AGTPBP1
25384,ZCCHC6
25399,CTSL
25444,UNQ6494
25476,SPTLC1
25492,NOL8
25521,RP11-165J3.6
25535,RP11-2B6.2
25544,MFSD14B
25549,FBP1
25575,ERCC6L2
25585,SLC35D2
25608,RP11-498P14.3
25617,TDRD7
25647,TGFBR1
25687,ZNF189
25729,RP11-217B7.3
25731,SLC44A1
25732,FSD1L
25781,FAM206A
25793,RP11-406O23.2
25797,TXN
25816,DNAJC25
25817,GNG10
25818,C9orf84
25819,RP11-430K21.2
25821,UGCG
25834,HSDL2
25836,KIAA1958
25861,RP11-168K11.2
25909,TLR4
25922,CDK5RAP2
25923,MEGF9
25930,PHF19
25933,CNTRL
25934,RAB14
25957,RP11-498E2.9
25983,ZBTB6
25985,RP11-355O1.11
26005,NEK6
26009,ADGRD2
26019,OLFML2A
26028,PRPS1P2
26037,MAPKAP1
26054,ZBTB34
26061,SLC2A8
26066,FAM129B
26074,CDK9
26075,FPGS
26079,AK1
26081,ST6GALNAC6
26088,NAIF1
26092,PTGES2
26095,C9orf16
26096,CIZ1
26104,COQ4
26107,URM1
26109,CERCAM
26138,SH3GLB2
26139,MIGA2
26143,PTPA
26145,IER5L
26146,RP11-247A12.2
26160,NTMT1
26162,ASB6
26166,PTGES
26188,ABL1
26196,RNU6-881P
26205,POMT1
26209,RAPGEF1
26213,MED27
26216,TTF1
26231,GTF3C5
26243,RPL7A
26246,SURF2
26247,SURF4
26252,SLC2A6
26254,ADAMTSL2
26257,DBH
26258,DBH-AS1
26276,COL5A1
26290,OLFM1
26299,MRPS2
26324,DNLZ
26327,SDCCAG3
26328,PMPCA
26342,FAM69B
26354,RABL6
26357,C9orf172
26358,PHPT1
26360,EDF1
26365,FBXW5
26369,PTGDS
26370,LCNL1
26371,C9orf142
26372,CLIC3
26383,MAN1B1
26385,DPP7
26390,ANAPC2
26391,SSNA1
26403,NELFB
26408,EXD3
26411,NSMF
26413,MRPL41
26417,ARRDC1-AS1
26418,EHMT1
26426,TUBBP5
26453,IDI1
26454,WDR37
26474,PFKP
26482,RP11-184A2.3
26483,RP11-184A2.2
26506,RP11-445P17.3
26519,RP11-336A10.4
26540,RP11-414H17.5
26543,RP11-563J2.3
26563,TAF3
26565,GATA3-AS1
26590,CELF2
26597,CELF2-AS1
26601,RP11-138I18.2
26602,ECHDC3
26605,UPF2
26607,DHTKD1
26609,SEC61A2
26611,NUDT5
26613,RP11-186N15.3
26636,BEND7
26656,HSPA14
26659,SUV39H2
26666,OLAH
26667,ACBD7
26677,MINDY3
26688,TRDMT1
26689,VIM-AS1
26694,PRPF38AP2
26696,AC069542.1
26700,TMEM236
26740,RP11-275N1.1
26766,SPAG6
26767,RP11-301N24.3
26780,OTUD1
26793,THNSL1
26812,LINC00202-2
26814,RP13-16H11.8
26815,PDSS1
26818,ABI1
26839,RAB18
26847,MPP7
26869,SVIL-AS1
26870,SVIL
26887,RP11-449I17.9
26897,ZNF438
26898,RP11-330O11.3
26899,DDX10P1
26901,ZEB1-AS1
26912,KIF5B
26913,RPS4XP11
26945,PARD3
26995,ZNF248
27002,ZNF33A
27013,HSD17B7P2
27056,CSGALNACT2
27057,RASGEF1A
27063,ZNF487
27065,RP11-517P14.7
27068,ZNF485
27096,TMEM72
27097,RP11-285G1.9
27099,RASSF4
27101,C10orf25
27117,OR13A1
27119,RP11-67C2.2
27284,IPMK
27289,UBE2D1
27290,TFAM
27322,RP11-120C12.3
27331,NRBF2
27332,JMJD1C
27373,HERC4
27382,PBLD
27407,SRGN
27421,RP11-343J3.2
27432,H2AFY2
27484,MCU
27485,MIR4676
27499,ECD
27504,DNAJC9-AS1
27505,CFAP70
27531,FUT11
27563,VDAC2
27588,KCNMA1-AS1
27604,POLR3A
27646,SFTPD
27672,SH2D4B
27694,CDHR1
27761,KLLN
27762,PTEN
27765,MED6P1
27780,ACTA2-AS1
27782,FAS
27794,IFIT5
27831,TNKS2
27837,CPEB3
27842,MARCH5
27851,EXOC6
27856,CYP26A1
27881,NOC3L
27901,RP11-310E22.4
27907,ENTPD1
27908,ENTPD1-AS1
27909,RP11-429G19.3
27910,CC2D2B
27912,CCNJ
27915,ZNF518A
27919,DNTT
27924,PIK3AP1
27930,LCOR
27932,SLIT1
27934,ARHGAP19
27936,RPL12P27
27946,MMS19
27974,RP11-441O15.3
27984,CUTC
27985,ABCC2
27993,ERLIN1
27994,CHUK
27995,RP11-316M21.7
28008,NDUFB8
28012,SLF2
28014,MRPL43
28018,TWNK
28021,SFXN3
28038,FBXW4
28041,FGF8
28043,MGEA5
28046,C10orf76
28053,ELOVL3
28070,ARL3
28102,NEURL1
28109,SLK
28118,GSTO2
28121,CFAP58-AS1
28122,CFAP58
28152,ADD3
28158,RP11-525A16.4
28162,SMC3
28169,BBIP1
28170,RP11-348N5.9
28172,SHOC2
28186,ZDHHC6
28191,RP11-57H14.4
28194,TCF7L2
28211,CCDC186
28225,FAM160B1
28265,RAB11FIP2
28282,FAM45A
28284,PRDX3
28300,MCMBP
28342,FAM24B
28367,LHPP
28369,FAM53B
28393,UROS
28401,ADAM12
28423,MGMT
28432,CTAGE7P
28450,DPYSL4
28451,STK32C
28453,PWWP2B
28456,C10orf91
28475,TUBGCP2
28477,ZNF511
28482,FUOM
28483,ECHS1
28487,MTG1
28490,SCART1
28530,RP11-326C3.2
28536,IFITM1
28537,RP11-326C3.11
28540,RP11-326C3.14
28541,RP11-326C3.13
28542,RP11-326C3.12
28543,RP11-326C3.15
28544,B4GALNT4
28546,SIGIRR
28549,PTDSS2
28551,RNH1
28553,HRAS
28560,PHRF1
28576,SLC25A22
28579,RPLP2
28580,SNORA52
28585,POLR2L
28588,CHID1
28589,AP2A2
28600,MOB2
28633,IGF2
28640,ASCL2
28642,TSPAN32
28647,TSSC4
28655,CDKN1C
28661,CTC-343N3.1
28695,PGAP2
28709,RP11-23F23.3
28791,OR51B6
28815,TRIM5
28816,TRIM22
28849,RP11-290F24.6
28852,CNGA4
28861,TRIM3
28862,ARFIP2
28870,TAF10
28917,EIF3F
28930,RPL27A
28932,SNORA3B
28941,NRIP3
28963,SBF2
28968,RP11-351I24.3
28969,RP11-351I24.1
28971,AMPD3
28974,RNF141
28976,LYVE1
28977,MRVI1
28978,CTR9
28980,EIF4G2
28981,RP11-685M7.3
28982,ZBED5
29020,BTBD10
29025,FAR1
29050,INSC
29051,snoMBII-202
29052,RP11-531H8.1
29053,RP11-531H8.2
29055,RP11-396O20.2
29086,SERGEF
29116,UEVLD
29137,ZDHHC13
29240,CTD-3012A18.1
29279,PRRG4
29288,HIPK3
29294,CD59
29295,FBXO3
29322,RP1-68D18.4
29356,RP11-63D14.1
29405,ACCS
29407,EXT2
29441,CRY2
29444,PEX16
29446,PHF21A
29471,C11orf49
29483,MADD
29486,MYBPC3
29491,PSMC3
29510,PTPRJ
29692,OR5M8
29793,LPXN
29846,OR10V2P
29847,AP000640.10
29848,STX3
29854,OOSP1
29882,PTGDR2
29884,PRPF19
29885,RP11-881M11.2
29902,TKFC
29906,TMEM216
29907,CPSF7
29924,MYRF
29927,FADS1
29929,FADS3
29956,RP11-864I4.4
29957,EEF1G
29960,MTA2
29961,EML3
29971,UBXN1
29978,POLR2G
29983,TMEM179B
29985,NXF1
29990,RP11-727F15.9
29992,WDR74
30014,HRASLS5
30017,RARRES3
30024,RTN3
30035,COX8A
30036,OTUB1
30049,FKBP2
30050,PPP1R14B
30053,PLCB3
30054,BAD
30055,GPR137
30062,CCDC88B
30073,NRXN2
30074,AP001092.4
30079,MAP4K2
30085,ATG2A
30086,MIR6750
30088,PPP2R5B
30095,SNX15
30097,NAALADL1
30101,VPS51
30103,TM7SF2
30106,FAU
30108,SYVN1
30122,RP11-867O8.5
30123,SLC25A45
30135,SSSCA1
30144,RELA
30148,KRT8P26
30149,RP11-770G2.2
30155,MUS81
30156,EFEMP2
30157,CTSW
30158,FIBP
30160,FOSL1
30199,CTD-3074O7.5
30200,DPP3
30202,ZDHHC24
30207,CCS
30218,RCE1
30242,RPS6KB2
30246,TMEM134
30247,AIP
30249,PITPNM1
30250,CDK2AP2
30256,NDUFV1
30283,NDUFS8
30290,KMT5B
30297,TESMIN
30300,MRPL21
30301,IGHMBP2
30302,RP11-757G1.5
30374,ALG1L9P
30383,RNF121
30385,IL18BP
30386,NUMA1
30395,RP11-807H22.5
30437,RELT
30474,LIPT2
30476,POLD3
30483,RP11-864N7.2
30484,RNF169
30509,GDPD5
30522,RP11-535A19.1
30542,RP11-672A2.4
30554,CAPN5
30563,AQP11
30574,INTS4
30586,RP11-452H21.1
30587,RP11-452H21.2
30665,PICALM
30671,SETP17
30678,ME3
30714,CTSC
30745,RP11-358N4.6
30747,TRIM51BP
30831,C11orf54
30846,ANKRD49
30850,PIWIL4
30868,BUD13P1
30882,CCDC82
30893,RP11-379J13.2
30970,CASP4
30971,CASP5
30972,CASP1
30973,CARD16
31034,ZC3H12C
31144,CADM1
31166,ZPR1
31181,SIDT2
31183,PCSK7
31185,RNF214
31189,CEP164
31200,IL10RA
31234,AP002954.4
31257,VPS11
31261,C2CD2L
31262,HINFP
31267,CBL
31292,OAF
31297,GRIK4
31309,SORL1
31317,RP11-716H6.2
31335,CLMP
31423,FEZ1
31460,ST3GAL4-AS1
31490,FLI1
31509,RP11-567M21.3
31592,RP11-283I3.6
31652,RP11-253E3.1
31669,RP11-320N7.2
31682,RP11-234B24.5
31688,GALNT8
31706,RP3-454B23.1
31728,IFFO1
31733,LPAR5
31744,PTMS
31745,LAG3
31747,CD4
31748,GPR162
31752,USP5
31760,ATN1
31776,C1RL
31786,CD163L1
31788,CD163
31800,NANOG
31802,RP11-277J24.1
31823,FAM90A1
31829,RP11-113C12.4
31832,RPS3AP43
31834,OR7E140P
31840,CLEC4D
31842,CLEC4E
31843,RP11-561P12.5
31844,AICDA
31858,M6PR
31910,CLEC7A
31920,KLRC3
31921,KLRC2
31922,KLRC1
31923,EIF2S3L
31977,LRP6
31988,RP11-253I19.3
31990,CREBL2
32006,RP11-392P7.6
32010,HEBP1
32039,H2AFJ
32040,WBP11
32061,STRAP
32108,PDE3A
32167,LRMP
32196,RP11-283G6.5
32210,RP11-582E3.6
32215,STK38L
32247,RP11-946L16.1
32248,FAR2
32251,RP11-996F15.2
32253,RP11-996F15.6
32254,ERGIC2
32255,OVCH1-AS1
32266,IPO8
32296,ETFBKMT
32297,AMN1
32304,RP11-428G5.4
32307,RP11-428G5.1
32310,KIAA1551
32321,FGD4
32376,RP11-476D10.1
32377,AC079630.2
32378,AC079630.4
32379,LRRK2
32424,PUS7L
32426,IRAK4
32427,TWF1
32450,SCAF11
32454,SLC38A2
32458,RP11-474P2.6
32510,ASB8
32517,RP11-370I10.12
32520,RP11-370I10.10
32525,OR5BK1P
32526,RP11-370I10.11
32532,C12orf54
32550,CACNB3
32568,RP11-386G11.8
32598,BCDIN3D-AS1
32599,BCDIN3D
32610,ASIC1
32611,SMARCD1
32626,DIP2B
32638,HIGD1C
32652,SMAGP
32655,GALNT6
32668,GRASP
32669,NR4A1
32671,ATG101
32681,KRT86
32684,KRT81
32685,RP11-845M18.6
32726,EIF4B
32741,ITGB7
32748,C12orf10
32749,AAAS
32754,PCBP2
32758,TARBP2
32763,ATP5G2
32799,RN7SL390P
32804,COPZ1
32811,ZNF385A
32859,RP11-644F5.15
32862,ITGA7
32895,ESYT1
32899,RP11-977G19.5
32902,NABP2
32904,ANKRD52
32907,CS
32928,ATP5B
32932,NACA
32981,TSPAN31
32991,RP11-571M6.18
32997,RP11-620J15.3
33031,KLF17P1
33032,USP15
33049,AVPR1A
33061,SRGAP1
33077,TBK1
33078,RASSF3
33085,GNS
33088,RPL7P39
33098,MSRB3
33109,RP11-366L20.2
33113,RPL21P18
33118,IRAK3
33119,RBMS1P1
33120,RP11-335I12.2
33121,PDCL3P7
33140,RP11-43N5.1
33151,MDM1
33162,RP11-637A17.2
33168,MDM2
33177,RP11-1143G9.5
33189,RAB3IP
33202,FAHD2P1
33271,BBS10
33272,OSBPL8
33279,ZDHHC17
33286,RP1-97G4.1
33303,PAWR
33305,PPP1R12A
33309,RP11-84G21.1
33322,LIN7A
33326,ACSS3
33384,RP11-13A1.1
33386,RP11-13A1.3
33391,RP11-1109F11.3
33395,GALNT4
33396,POC1B-AS1
33431,RP11-693J15.5
33440,RP11-511B23.2
33444,NACAP3
33455,CRADD
33462,RP11-74K11.1
33463,PLXNC1
33465,RP11-1105G2.4
33470,CEP83-AS1
33479,NDUFA12
33485,CBX3P5
33494,USP44
33504,RP11-256L6.3
33506,RP11-256L6.2
33517,CFAP54
33544,IKBIP
33545,APAF1
33552,RPS4XP1
33597,DRAM1
33638,TXNRD1
33651,WASHC4
33652,APPL2
33663,RP11-651L5.3
33665,TCP11L2
33683,PWP1
33700,FICD
33701,SART3
33703,TMEM119
33705,RP11-689B22.2
33709,SSH1
33716,USP30-AS1
33727,UBE3B
33729,MVK
33731,FAM222A
33740,GIT2
33777,SH2B3
33793,ERP29
33816,RASAL1
33818,DDX54
33825,PLBD2
33826,SDS
33889,TESC
33907,RP11-131L12.3
33941,RPLP0
33944,RP1-278C19.8
33957,GATC
33964,RPL29P24
33992,CAMKK2
33995,RNF34
34000,ORAI1
34003,RHOF
34021,DIABLO
34024,CLIP1
34047,ARL6IP4
34050,RP11-197N18.7
34063,RP11-972P1.8
34065,RILPL1
34082,CCDC92
34096,NCOR2
34185,RP11-21K12.3
34254,RNU6-1017P
34268,NOC4L
34291,P2RX2
34312,ZNF84
34315,ZNF140
34320,ZNF268
34381,MPHOSPH8
34383,PSPC1
34402,IFT88
34428,LINC00539
34429,GRK6P1
34430,GAPDHP52
34432,ZDHHC20
34435,MICU2
34471,PCOTH
34474,SPATA13
34485,PARP4
34508,MTMR6
34538,RP11-428O18.6
34542,RASL11A
34547,MTIF3
34565,PAN3-AS1
34566,PAN3
34573,SLC46A3
34592,RP11-490N5.3
34598,RP11-374F3.5
34599,LINC01058
34601,HMGB1
34630,N4BP2L2
34633,PDS5B
34638,KL
34685,CSNK1A1L
34686,RP11-676B18.2
34687,RP11-676B18.1
34727,MRPS31
34733,ELF1
34735,WBP4
34738,KBTBD6
34739,RP11-74J13.8
34741,KBTBD7
34753,VWA8
34868,ITM2B
34880,PSME2P2
34887,OGFOD1P1
34888,MLNR
34897,ARL11
34898,EBPL
34917,DLEU7
34918,DLEU7-AS1
34929,SERPINE3
34932,INTS6-AS1
34933,RPS4XP16
34941,DHRS12
34943,LINC00282
34944,CCDC70
34950,UTP14C
34957,THSD1
34963,RP11-78J21.4
35061,PCDH9
35081,ZDHHC20P4
35095,DACH1
35153,FBXL3
35177,RNF219
35283,TGDS
35301,DNAJC3-AS1
35302,DNAJC3
35361,CCR12P
35365,TM9SF2
35378,PCCA
35447,TNFSF13B
35449,RNA5SP39
35450,RP11-153I24.5
35451,HCFC2P1
35460,IRS2
35461,RP11-40E6.2
35485,ANKRD10
35514,ATP11A
35541,TMCO3
35542,RP11-230F18.6
35554,LINC00453
35639,OR4H12P
35705,RNASE1
35725,ARHGEF40
35727,TMEM253
35830,TRDC
35900,OR6E1P
35904,OXA1L
35909,REM2
35912,PRMT5
35913,RP11-298I3.1
35914,HAUS4
35915,AJUBA
35918,RP11-298I3.3
35937,PABPN1
35948,ZFHX2-AS1
35952,RP11-66N24.3
35953,AP1G2
35956,DHRS2
35967,CARMIL3
35970,PCK2
35973,PSME1
35976,PSME2
35987,CHMP4A
35993,RABGGTA
35995,NOP9
35998,ADCY4
36006,CMA1
36009,GZMH
36010,GZMB
36077,HEATR5A
36081,DTD2
36116,SNX6
36122,BAZ1A
36124,RP11-73E17.2
36128,SRP54
36199,LINC00639
36202,SEC23A
36207,TRAPPC6B
36217,RP11-1074O12.1
36313,ARF6
36320,VCPKMT
36321,SOS2
36336,NIN
36341,PYGL
36342,ABHD12B
36345,TRIM9
36350,RP11-255G12.2
36356,RP11-102G14.1
36375,RP11-452D12.1
36376,PTGER2
36402,GMFB
36413,LGALS3
36434,CTD-2588E21.1
36435,PELI2
36437,RP11-930O11.3
36438,RP11-930O11.1
36439,TMEM260
36441,RP11-1085N6.2
36454,EXOC5
36469,ACTR10
36472,PSMA3-AS1
36476,ARID4A
36481,KIAA0586
36483,HNRNPCP1
36485,DACT1
36494,JKAMP
36501,PCNX4
36503,SCOCP1
36554,CTD-2302E22.1
36556,WDR89
36589,CHURC1
36592,FNTB
36614,YBX1P1
36654,CTD-2325P2.3
36665,DCAF5
36669,EXD2
36683,RPL7AP6
36703,LINC01269
36708,RP1-292L20.3
36709,PCNX1
36712,PTTG4P
36742,NUMB
36743,RP1-240K6.3
36779,ABCD4
36793,AREL1
36799,DLST
36822,BATF
36842,CYCSP1
36846,VASH1
36852,RN7SKP17
36853,RP11-488C13.4
36856,RP11-7F17.1
36857,IRF2BPL
36858,RP11-7F17.8
36859,RP11-7F17.5
36870,TMED8
36872,SAMD15
36873,NOXRED1
36878,SPTLC2
36887,ADCK1
36912,GTF2A1
36920,SEL1L
36971,KCNK10
36981,TTC8
37036,TRIP11
37048,RP11-862G15.2
37058,BTBD7
37076,IFI27L2
37091,RP11-986E7.2
37093,GSC
37094,RPL15P2
37098,DICER1
37100,DICER1-AS1
37101,CLMN
37113,TCL1B
37127,ATG2B
37128,GSKIP
37134,PAPOLA
37139,VRK1
37141,RP11-907D1.3
37181,DEGS2
37317,DYNC1H1
37322,WDR20
37326,TECPR2
37355,EIF5
37361,CKB
37368,APOPT1
37373,RP11-73M18.7
37380,CTD-2134A5.4
37383,TDRD9
37384,RD3L
37385,RN7SL634P
37414,PLD4
37425,BRF1
37426,BTBD6
37427,PACS2
37432,MTA1
37434,CRIP2
37435,CRIP1
