,Gene
3739,NMNAT2
3744,ARPC5
3755,GS1-115G20.1
3757,EDEM3
3758,FAM129A
3762,RNF2
3764,TRMT1L
3765,SWT1
3766,CTA-253N17.1
3776,GS1-204I12.3
3782,TPR
3785,RP11-295K2.3
3831,RGS18
3833,RP11-142L4.2
3848,TROVE2
3888,NEK7
3892,PTPRC
3893,RP11-553K8.5
3915,LINC00862
3919,ZNF281
3922,DDX59
3945,CSRP1
3973,PTPN7
3975,LGR6
3994,KLHL12
3995,HNRNPA1P59
4011,LINC01136
4019,ATP2B4
4031,SOX13
4049,RP11-430C7.4
4050,LRRN2
4051,RP11-430C7.5
4061,DSTYK
4073,CDK18
4098,IKBKE
4100,C1orf147
4105,EIF2D
4121,PFKFB2
4133,RP11-357P18.3
4134,CR2
4135,CR1
4136,RP11-78B10.2
4140,CD46
4150,LINC01717
4193,SLC30A1
4201,LPGAT1
4213,RP11-384C4.6
4227,RP11-338C15.3
4228,BATF3
4230,TATDN3
4286,LYPLAL1
4319,C1orf115
4320,MARC2
4321,MARC1
4322,RNU6ATAC35P
4324,LINC01352
4331,DUSP10
4351,BROX
4356,TLR5
4359,SUSD4
4372,RP11-504P24.3
4385,CNIH4
4395,LBR
4402,SRP9
4407,LEFTY1
4412,NDUFA3P3
4414,RP11-396C23.4
4454,SNAP47
4465,C1orf35
4466,MRPL55
4470,GUK1
4480,TRIM11
4490,RNF187
4517,RP5-1065P14.3
4532,RP4-613A2.1
4547,LINC01737
4560,FAM89A
4569,SPRTN
4570,EGLN1
4573,TSNAX
4575,DISC1
4583,SIPA1L2
4626,RP11-443B7.2
4627,RP11-443B7.1
4635,ARID4B
4638,GGPS1
4654,LYST
4771,ZBTB18
4792,EFCAB2
4823,AHCTF1
4824,ZNF695
4835,RP11-488L18.10
4888,OR2T12
4911,XX-CR54.1
4969,TSSC1
4974,ADI1
5026,LINC00299
5029,LINC01814
5034,KIDINS220
5035,MBOAT2
5043,EIF1P7
5047,ADAM17
5076,NOL10
5155,RP11-542H15.1
5165,SMC6
5182,TTC32
5184,WDR35
5196,PUM2
5249,SF3B6
5250,FAM228B
5256,ITSN2
5263,PTRHD1
5267,DNAJC27
5270,DNAJC27-AS1
5274,POMC
5281,ASXL2
5315,TMEM214
5321,OST4
5330,SLC5A6
5331,ATRAID
5337,MPV17
5341,EIF2B4
5343,ZNF513
5344,PPM1G
5373,PLB1
5377,AC097724.3
5402,LCLAT1
5404,CAPN13
5406,GALNT14
5407,AC009305.1
5423,SPAST
5425,SLC30A6
5428,NLRC4
5429,YIPF4
5477,STRN
5485,CEBPZOS
5486,CEBPZ
5488,NDUFAF7
5492,QPCT
5497,AC010878.3
5502,CYP1B1-AS1
